Reference:  206 apertures in PRDOPSSOC-029
Comparison: 206 apertures in new pre-delivery

Number of modified apertures 206. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA3_FP1                           V3Ref           -515.821184           -515.836853        0.015669     0.0030
NRCA3_FP1                     V3IdlYAngle            0.08691561            0.08706276        0.000147     0.1690
NRCA3_FP1                     V3SciYAngle            0.08691561            0.08706276        0.000147     0.1690
NRCA3_FP1                       XIdlVert1              -14.5085              -14.5242        0.015700     0.1081
NRCA3_FP1                       XIdlVert2               50.0491               50.0334        0.015700     0.0314
NRCA3_FP1                       XIdlVert3               49.3875                49.372        0.015500     0.0314
NRCA3_FP1                       XIdlVert4              -14.2838              -14.2994        0.015600     0.1091
NRCA3_FP1                       YIdlVert1              -44.3556              -44.3398        0.015800     0.0356
NRCA3_FP1                       YIdlVert2              -44.5955              -44.5799        0.015600     0.0350
NRCA3_FP1                       YIdlVert3               20.0405                20.056        0.015500     0.0773
NRCA3_FP1                       YIdlVert4               19.9392               19.9549        0.015700     0.0787
NRCA3_FP1                      Sci2IdlX10   0.03114319772368719   0.03114334281021615        0.000000     0.0005
NRCA3_FP1                      Sci2IdlX20 4.579455356939207e-08  4.58083744126424e-08        0.000000     0.0302
NRCA3_FP1                      Sci2IdlX21 -1.989670329210611e-07 -1.989781690245297e-07        0.000000     0.0056
NRCA3_FP1                      Sci2IdlX22 -1.908563060734477e-08 -1.908087626736267e-08        0.000000     0.0249
NRCA3_FP1                      Sci2IdlX30 8.567257663013565e-12 8.568344146326681e-12        0.000000     0.0127
NRCA3_FP1                      Sci2IdlX31 -1.578543469968141e-12 -1.579814564453598e-12        0.000000     0.0805
NRCA3_FP1                      Sci2IdlX32 9.731611788803267e-12 9.732945447757645e-12        0.000000     0.0137
NRCA3_FP1                      Sci2IdlX33 -1.503759741532108e-13 -1.507557665257027e-13        0.000000     0.2519
NRCA3_FP1                      Sci2IdlX40   4.0476909367705e-16 4.051165957421288e-16        0.000000     0.0858
NRCA3_FP1                      Sci2IdlX41 -5.535911801665051e-16 -5.53857927727075e-16        0.000000     0.0482
NRCA3_FP1                      Sci2IdlX42 4.608757134411578e-16 4.612929544596347e-16        0.000000     0.0905
NRCA3_FP1                      Sci2IdlX43 -5.843077107829834e-16 -5.845865794535074e-16        0.000000     0.0477
NRCA3_FP1                      Sci2IdlX44 5.613565083963451e-17 5.620409475852844e-17        0.000000     0.1218
NRCA3_FP1                      Sci2IdlX51 1.139079161372781e-20 1.139119855022086e-20        0.000000     0.0036
NRCA3_FP1                      Sci2IdlX53 1.122004290998755e-20 1.122080595482495e-20        0.000000     0.0068
NRCA3_FP1                      Sci2IdlX55 1.103514448714745e-21 1.103866272874513e-21        0.000000     0.0319
NRCA3_FP1                      Sci2IdlY10 -7.833355344218627e-05 -7.837776258773533e-05        0.000000     0.0564
NRCA3_FP1                      Sci2IdlY11   0.03130673061217623   0.03130689622247833        0.000000     0.0005
NRCA3_FP1                      Sci2IdlY20 6.991512774057242e-08 6.991084953181487e-08        0.000000     0.0061
NRCA3_FP1                      Sci2IdlY21 6.827314843003091e-08 6.828326636208427e-08        0.000000     0.0148
NRCA3_FP1                      Sci2IdlY22 -1.314635906493186e-07 -1.314788068188754e-07        0.000000     0.0116
NRCA3_FP1                      Sci2IdlY30 -1.029047048477349e-13 -1.031933773990492e-13        0.000000     0.2797
NRCA3_FP1                      Sci2IdlY31 8.011394673334022e-12 8.012631933321774e-12        0.000000     0.0154
NRCA3_FP1                      Sci2IdlY32 -1.594304958818155e-12 -1.595518669018821e-12        0.000000     0.0761
NRCA3_FP1                      Sci2IdlY33 9.644459212499774e-12 9.645839374986565e-12        0.000000     0.0143
NRCA3_FP1                      Sci2IdlY40 -3.775495728916688e-17 -3.782983748565987e-17        0.000000     0.1979
NRCA3_FP1                      Sci2IdlY41 3.820146465962741e-16 3.823201037851018e-16        0.000000     0.0799
NRCA3_FP1                      Sci2IdlY42 -6.597394580560356e-16 -6.601670081734643e-16        0.000000     0.0648
NRCA3_FP1                      Sci2IdlY43 3.523685553074141e-16 3.526477832192229e-16        0.000000     0.0792
NRCA3_FP1                      Sci2IdlY44 -6.015919693392723e-16 -6.019297454572055e-16        0.000000     0.0561
NRCA3_FP1                      Sci2IdlY50 2.154152096927856e-21 2.153789160417203e-21        0.000000     0.0168
NRCA3_FP1                      Sci2IdlY52 1.286582476555269e-20 1.286507866684391e-20        0.000000     0.0058
NRCA3_FP1                      Sci2IdlY54 9.691436180730888e-21 9.691062510670872e-21        0.000000     0.0039
NRCA3_FP1                      Idl2SciX00  -0.00326968368833036 -0.003289099968355913        0.000019     0.5903
NRCA3_FP1                      Idl2SciX10     32.10911793828342     32.10896767597254        0.000150     0.0005
NRCA3_FP1                      Idl2SciX11 0.0006189261184345457 0.0006192829915636425        0.000000     0.0576
NRCA3_FP1                      Idl2SciX20 -0.001506058296671743 -0.001506477941466743        0.000000     0.0279
NRCA3_FP1                      Idl2SciX21   0.00658602864322866  0.006586280312551683        0.000000     0.0038
NRCA3_FP1                      Idl2SciX22 0.0006289419181922775 0.0006287837302205708        0.000000     0.0252
NRCA3_FP1                      Idl2SciX30 -9.417646696995635e-06 -9.418346916726645e-06        0.000000     0.0074
NRCA3_FP1                      Idl2SciX31 -2.170822030164264e-07 -2.16406863352277e-07        0.000000     0.3111
NRCA3_FP1                      Idl2SciX32 -7.884028600627611e-06 -7.884722072866364e-06        0.000000     0.0088
NRCA3_FP1                      Idl2SciX33 3.928426468854975e-07 3.931170705583033e-07        0.000000     0.0698
NRCA3_FP1                      Idl2SciX40 -9.890940065834388e-09 -9.901404446207143e-09        0.000000     0.1057
NRCA3_FP1                      Idl2SciX41 5.301809999257529e-09 5.310176434033281e-09        0.000000     0.1576
NRCA3_FP1                      Idl2SciX42 -1.259211320122719e-08 -1.26048672857069e-08        0.000000     0.1012
