Reference:  189 apertures in PRDOPSSOC-H-015
Comparison: 189 apertures in new pre-delivery

Number of modified apertures 189. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA5_FULL_OSS                 Idl2SciX30 -6.18200714870174e-06 -6.181790050341375e-06        0.000000     0.0035
NRCA5_FULL_OSS                 Idl2SciX31  1.60582546830746e-07 1.704997124234195e-07        0.000000     5.8165
NRCA5_FULL_OSS                 Idl2SciX32 -5.49127299488853e-06 -5.492406520770078e-06        0.000000     0.0206
NRCA5_FULL_OSS                 Idl2SciX33 -1.81351398468542e-07 -1.741491572219421e-07        0.000000     3.9714
NRCA5_FULL_OSS                 Idl2SciX40 -6.55024968607233e-10 -6.600092079204043e-10        0.000000     0.7552
NRCA5_FULL_OSS                 Idl2SciX41 -3.80170428663303e-09  -3.7994370832503e-09        0.000000     0.0596
NRCA5_FULL_OSS                 Idl2SciX42 -4.51261440051288e-10 -4.500242110641517e-10        0.000000     0.2742
NRCA5_FULL_OSS                 Idl2SciX43 -3.48714038012416e-09 -3.48506269432795e-09        0.000000     0.0596
NRCA5_FULL_OSS                 Idl2SciX44  1.68460779017875e-10 1.730326086686533e-10        0.000000     2.6422
NRCA5_FULL_OSS                 Idl2SciX50 -5.99984048975746e-11 -5.999015796439542e-11        0.000000     0.0137
NRCA5_FULL_OSS                 Idl2SciX51  6.25105020720922e-12 6.325812350975394e-12        0.000000     1.1819
NRCA5_FULL_OSS                 Idl2SciX52 -1.21480203488918e-10 -1.214837102200546e-10        0.000000     0.0029
NRCA5_FULL_OSS                 Idl2SciX53  7.41304684633607e-12 7.573478292656561e-12        0.000000     2.1183
NRCA5_FULL_OSS                 Idl2SciX54 -6.05225247307937e-11 -6.053447585998926e-11        0.000000     0.0197
NRCA5_FULL_OSS                 Idl2SciX55  1.13502740729735e-12 1.214407164376714e-12        0.000000     6.5365
NRCA5_FULL_OSS                 Idl2SciY10   -0.0439347240907607  -0.02314264781385075        0.020792    47.3249
NRCA5_FULL_OSS                 Idl2SciY11      15.8543120822107     15.85435606632963        0.000044     0.0003
NRCA5_FULL_OSS                 Idl2SciY20  -0.00124590231302308 -0.001244711452021884        0.000001     0.0956
NRCA5_FULL_OSS                 Idl2SciY21   0.00090419017188137 0.0009119151347307464        0.000008     0.8471
NRCA5_FULL_OSS                 Idl2SciY22   0.00170049920019431  0.001699308339193158        0.000001     0.0700
NRCA5_FULL_OSS                 Idl2SciY30 -1.41479292698702e-07 -1.499394209694475e-07        0.000000     5.6424
NRCA5_FULL_OSS                 Idl2SciY31 -6.45154936063612e-06 -6.450451269943015e-06        0.000000     0.0170
NRCA5_FULL_OSS                 Idl2SciY32   2.0329965135993e-07 1.968853925968188e-07        0.000000     3.1551
NRCA5_FULL_OSS                 Idl2SciY33 -5.93086554351347e-06 -5.931127954103741e-06        0.000000     0.0044
NRCA5_FULL_OSS                 Idl2SciY40  3.13815052541678e-10 3.124699039332875e-10        0.000000     0.4286
NRCA5_FULL_OSS                 Idl2SciY41 -1.02161823473483e-09 -1.029780982881488e-09        0.000000     0.7927
NRCA5_FULL_OSS                 Idl2SciY42 -2.48602656227368e-09 -2.485642883412269e-09        0.000000     0.0154
NRCA5_FULL_OSS                 Idl2SciY43 -9.24865183101445e-10 -9.314930747598308e-10        0.000000     0.7115
NRCA5_FULL_OSS                 Idl2SciY44 -2.50699750244348e-09 -2.505780246788893e-09        0.000000     0.0486
NRCA5_FULL_OSS                 Idl2SciY50  1.06354260101106e-12 9.811118954903342e-13        0.000000     7.7506
NRCA5_FULL_OSS                 Idl2SciY51  -6.2860876529238e-11 -6.284891892869386e-11        0.000000     0.0190
NRCA5_FULL_OSS                 Idl2SciY52  7.18449531536322e-12 7.045014588881228e-12        0.000000     1.9414
NRCA5_FULL_OSS                 Idl2SciY53 -1.19260814093072e-10 -1.192566344000974e-10        0.000000     0.0035
NRCA5_FULL_OSS                 Idl2SciY54  6.15946533000106e-12 6.106208225241262e-12        0.000000     0.8646
NRCA5_FULL_OSS                 Idl2SciY55 -5.58213736318042e-11 -5.582941651153514e-11        0.000000     0.0144

NRCB1_FULL_OSS                  XIdlVert1               31.2836               31.2834        0.000200     0.0006
NRCB1_FULL_OSS                  XIdlVert2               -31.351              -31.3545        0.003500     0.0112
NRCB1_FULL_OSS                  XIdlVert3              -31.6852              -31.6868        0.001600     0.0050
NRCB1_FULL_OSS                  XIdlVert4               31.6295               31.6272        0.002300     0.0073
NRCB1_FULL_OSS                  YIdlVert1               31.5991               31.6006        0.001500     0.0047
NRCB1_FULL_OSS                  YIdlVert2               31.5918               31.5956        0.003800     0.0120
NRCB1_FULL_OSS                  YIdlVert4              -31.6611              -31.6585        0.002600     0.0082
NRCB1_FULL_OSS                 Idl2SciX10      -32.543005781051    -32.54369817681054        0.000692     0.0021
NRCB1_FULL_OSS                 Idl2SciX11     0.212287403045579 0.0004285647541885651        0.211859    99.7981
