Reference:  202 apertures in PRDOPSSOC-M-026
Comparison: 202 apertures in new pre-delivery

Number of modified apertures 202. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06

Aperture                        Attribute             Reference            Comparison      Difference    Percent
NRCA5_MASK335R                 Idl2SciY31 -7.478939872664692e-06 -7.48636912670869e-06        0.000000     0.0992
NRCA5_MASK335R                 Idl2SciY32 6.562561779100609e-07 6.522261838324435e-07        0.000000     0.6141
NRCA5_MASK335R                 Idl2SciY33 -7.312063403343651e-06 -7.332619725694018e-06        0.000000     0.2803
NRCA5_MASK335R                 Idl2SciY40 -2.121605464653267e-09 -2.14801765955933e-09        0.000000     1.2296
NRCA5_MASK335R                 Idl2SciY41 6.439566077322975e-09 6.353831132284523e-09        0.000000     1.3314
NRCA5_MASK335R                 Idl2SciY42 -1.643975562649503e-08 -1.659167708700809e-08        0.000000     0.9156
NRCA5_MASK335R                 Idl2SciY43 5.614856541476067e-09 5.529099374133536e-09        0.000000     1.5273
NRCA5_MASK335R                 Idl2SciY44 -1.363285558131395e-08 -1.374855752209661e-08        0.000000     0.8416
NRCA5_MASK335R                 Idl2SciY50 -8.806105229877195e-13 -8.853649541357884e-13        0.000000     0.5370
NRCA5_MASK335R                 Idl2SciY51 -6.283410063486344e-11 -6.283480756926899e-11        0.000000     0.0011
NRCA5_MASK335R                 Idl2SciY52 -6.87485781235232e-12 -6.882909892116931e-12        0.000000     0.1170
NRCA5_MASK335R                 Idl2SciY53 -1.192511728915176e-10 -1.192514403109696e-10        0.000000     0.0002
NRCA5_MASK335R                 Idl2SciY54 -6.041175736917626e-12 -6.04425472934546e-12        0.000000     0.0509
NRCA5_MASK335R                 Idl2SciY55 -5.583913007458029e-11 -5.583867284655157e-11        0.000000     0.0008

NRCA5_MASK430R                    XDetRef                1078.0                1075.5        2.500000     0.2319
NRCA5_MASK430R                    YDetRef                1673.0                1673.5        0.500000     0.0299
NRCA5_MASK430R                    XSciRef                 161.0                 160.5        0.500000     0.3106
NRCA5_MASK430R                    YSciRef                 160.0                 172.5       12.500000     7.2464
NRCA5_MASK430R                  XSciScale            0.06233589             0.0623361        0.000000     0.0003
NRCA5_MASK430R                  YSciScale            0.06263969               0.06264        0.000000     0.0005
NRCA5_MASK430R                      V2Ref             87.241565             87.085732        0.155833     0.1786
NRCA5_MASK430R                      V3Ref           -404.919331           -404.888171        0.031160     0.0077
NRCA5_MASK430R                V3IdlYAngle            0.01279743            0.01425793        0.001460    10.2434
NRCA5_MASK430R                V3SciXAngle          -90.05951972          -90.05773176        0.001788     0.0020
NRCA5_MASK430R                V3SciYAngle            0.01279743            0.01425793        0.001460    10.2434
NRCA5_MASK430R                  XIdlVert1               -10.021               -9.9915        0.029500     0.2944
NRCA5_MASK430R                  XIdlVert2                9.9585                9.9906        0.032100     0.3213
NRCA5_MASK430R                  XIdlVert3                 9.928                9.9607        0.032700     0.3283
NRCA5_MASK430R                  XIdlVert4               -9.9904               -9.9601        0.030300     0.3033
NRCA5_MASK430R                  YIdlVert1               -9.9701              -10.7539        0.783800     7.2885
NRCA5_MASK430R                  YIdlVert2              -10.0063              -10.7908        0.784500     7.2701
NRCA5_MASK430R                  YIdlVert3               10.0509                9.2684        0.782500     7.7854
NRCA5_MASK430R                  YIdlVert4               10.0654                9.2834        0.782000     7.7692
NRCA5_MASK430R                 Sci2IdlX10   0.06233583572304639   0.06233604669880457        0.000000     0.0003
NRCA5_MASK430R                 Sci2IdlX20 1.019480910391626e-07 1.026516592588755e-07        0.000000     0.6854
NRCA5_MASK430R                 Sci2IdlX21 -5.970835305307687e-07 -5.970066901012406e-07        0.000000     0.0129
NRCA5_MASK430R                 Sci2IdlX22 -1.042351689560609e-07 -1.039871112709978e-07        0.000000     0.2380
NRCA5_MASK430R                 Sci2IdlX30 9.297005623505541e-11 9.297208495263542e-11        0.000000     0.0022
NRCA5_MASK430R                 Sci2IdlX31 -6.211615770534245e-12 -6.139472256230057e-12        0.000000     1.1614
NRCA5_MASK430R                 Sci2IdlX32 1.022885063096311e-10 1.023006024539185e-10        0.000000     0.0118
NRCA5_MASK430R                 Sci2IdlX33 -1.279415977545211e-12 -1.254989503082313e-12        0.000000     1.9092
NRCA5_MASK430R                 Sci2IdlX40 -2.904430667334889e-16 -2.31232894720919e-16        0.000000    20.3862
NRCA5_MASK430R                 Sci2IdlX41 9.309365294438716e-15 9.323877881239358e-15        0.000000     0.1556
NRCA5_MASK430R                 Sci2IdlX42 -2.896516832697047e-16 -2.168982718254885e-16        0.000000    25.1176
NRCA5_MASK430R                 Sci2IdlX43 8.990641892653385e-15 9.002756977215069e-15        0.000000     0.1346
NRCA5_MASK430R                 Sci2IdlX44 -4.516813462162094e-16 -4.394490177198306e-16        0.000000     2.7082
NRCA5_MASK430R                 Sci2IdlX51 4.959091683700457e-19 4.960436250760137e-19        0.000000     0.0271
NRCA5_MASK430R                 Sci2IdlX52 9.532250037419438e-18 9.532264925631968e-18        0.000000     0.0002
NRCA5_MASK430R                 Sci2IdlX53 5.290408934591386e-19  5.29289073894919e-19        0.000000     0.0469
NRCA5_MASK430R                 Sci2IdlX54 4.717590002510554e-18 4.717602415469106e-18        0.000000     0.0003
NRCA5_MASK430R                 Sci2IdlX55 5.021405003838751e-20 5.032647156543627e-20        0.000000     0.2234
