# NIRCam grism parameter definition file for SIAF
# 
# This file contains the grism parameters.
# 
# Generated 2021-03-24T19:11:51.911 utc
# by gennaro
# 
              aperture_name ,   X1 ,   X2 ,   X3 ,   X4 ,   Y1 ,   Y2 ,   Y3 ,   Y4 ,     DX1 ,     DX2 ,     DX3 ,     DX4 ,     DY1 ,     DY2 ,     DY3 ,     DY4
 NRCA5_GRISMR_WFSS_F356W_PS , 2151 , 2151 , -116 , -116 ,    5 , 2044 , 2044 ,    5 ,  1126.5 ,  1126.5 , -1140.5 , -1140.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCB5_GRISMR_WFSS_F356W_PS , 2143 , 2143 , -130 , -130 , 2044 ,    5 ,    5 , 2044 ,  1118.5 ,  1118.5 , -1154.5 , -1154.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCA5_GRISMR_WFSS_F360M_PS , 1980 , 1980 , -116 , -116 ,    5 , 2044 , 2044 ,    5 ,   955.5 ,   955.5 , -1140.5 , -1140.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCB5_GRISMR_WFSS_F360M_PS , 1972 , 1972 , -130 , -130 , 2044 ,    5 ,    5 , 2044 ,   947.5 ,   947.5 , -1154.5 , -1154.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCA5_GRISMR_WFSS_F410M_PS , 2178 , 2178 , -116 , -116 ,    5 , 2044 , 2044 ,    5 ,  1153.5 ,  1153.5 , -1140.5 , -1140.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCB5_GRISMR_WFSS_F410M_PS , 2164 , 2164 , -126 , -126 , 2044 ,    5 ,    5 , 2044 ,  1139.5 ,  1139.5 , -1150.5 , -1150.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCA5_GRISMR_WFSS_F430M_PS , 2178 , 2178 ,  211 ,  211 ,    5 , 2044 , 2044 ,    5 ,  1153.5 ,  1153.5 ,  -813.5 ,  -813.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCB5_GRISMR_WFSS_F430M_PS , 2164 , 2164 ,  203 ,  203 , 2044 ,    5 ,    5 , 2044 ,  1139.5 ,  1139.5 ,  -821.5 ,  -821.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCA5_GRISMR_WFSS_F444W_PS , 2178 , 2178 ,  -94 ,  -94 ,    5 , 2044 , 2044 ,    5 ,  1153.5 ,  1153.5 , -1118.5 , -1118.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCB5_GRISMR_WFSS_F444W_PS , 2164 , 2164 , -102 , -102 , 2044 ,    5 ,    5 , 2044 ,  1139.5 ,  1139.5 , -1126.5 , -1126.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCA5_GRISMR_WFSS_F460M_PS , 2178 , 2178 ,  555 ,  555 ,    5 , 2044 , 2044 ,    5 ,  1153.5 ,  1153.5 ,  -469.5 ,  -469.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCB5_GRISMR_WFSS_F460M_PS , 2164 , 2164 ,  547 ,  547 , 2044 ,    5 ,    5 , 2044 ,  1139.5 ,  1139.5 ,  -477.5 ,  -477.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCA5_GRISMR_WFSS_F480M_PS , 2178 , 2178 ,  682 ,  682 ,    5 , 2044 , 2044 ,    5 ,  1153.5 ,  1153.5 ,  -342.5 ,  -342.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCB5_GRISMR_WFSS_F480M_PS , 2164 , 2164 ,  674 ,  674 , 2044 ,    5 ,    5 , 2044 ,  1139.5 ,  1139.5 ,  -350.5 ,  -350.5 , -1019.5 ,  1019.5 ,  1019.5 , -1019.5
 NRCA5_GRISMC_WFSS_F250M_PS ,    5 ,    5 , 2044 , 2044 , 1323 , 2698 , 2698 , 1323 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,   298.5 ,  1673.5 ,  1673.5 ,   298.5
 NRCB5_GRISMC_WFSS_F250M_PS ,    5 ,    5 , 2044 , 2044 , 1323 , 2698 , 2698 , 1323 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  -298.5 , -1673.5 , -1673.5 ,  -298.5
 NRCA5_GRISMC_WFSS_F277W_PS ,    5 ,    5 , 2044 , 2044 ,  755 , 2698 , 2698 ,  755 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  -269.5 ,  1673.5 ,  1673.5 ,  -269.5
 NRCB5_GRISMC_WFSS_F277W_PS ,    5 ,    5 , 2044 , 2044 ,  755 , 2698 , 2698 ,  755 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,   269.5 , -1673.5 , -1673.5 ,   269.5
 NRCA5_GRISMC_WFSS_F300M_PS ,    5 ,    5 , 2044 , 2044 ,  730 , 2698 , 2698 ,  730 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  -294.5 ,  1673.5 ,  1673.5 ,  -294.5
 NRCB5_GRISMC_WFSS_F300M_PS ,    5 ,    5 , 2044 , 2044 ,  730 , 2698 , 2698 ,  730 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,   294.5 , -1673.5 , -1673.5 ,   294.5
NRCA5_GRISMC_WFSS_F322W2_PS ,    5 ,    5 , 2044 , 2044 , -145 , 2698 , 2698 , -145 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 , -1169.5 ,  1673.5 ,  1673.5 , -1169.5
NRCB5_GRISMC_WFSS_F322W2_PS ,    5 ,    5 , 2044 , 2044 , -145 , 2698 , 2698 , -145 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  1169.5 , -1673.5 , -1673.5 ,  1169.5
 NRCA5_GRISMC_WFSS_F335M_PS ,    5 ,    5 , 2044 , 2044 ,  330 , 2698 , 2698 ,  330 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  -694.5 ,  1673.5 ,  1673.5 ,  -694.5
 NRCB5_GRISMC_WFSS_F335M_PS ,    5 ,    5 , 2044 , 2044 ,  330 , 2698 , 2698 ,  330 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,   694.5 , -1673.5 , -1673.5 ,   694.5
 NRCA5_GRISMC_WFSS_F356W_PS ,    5 ,    5 , 2044 , 2044 , -103 , 2698 , 2698 , -103 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 , -1127.5 ,  1673.5 ,  1673.5 , -1127.5
 NRCB5_GRISMC_WFSS_F356W_PS ,    5 ,    5 , 2044 , 2044 , -103 , 2698 , 2698 , -103 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  1127.5 , -1673.5 , -1673.5 ,  1127.5
 NRCA5_GRISMC_WFSS_F360M_PS ,    5 ,    5 , 2044 , 2044 ,   68 , 2589 , 2589 ,   68 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  -956.5 ,  1564.5 ,  1564.5 ,  -956.5
 NRCB5_GRISMC_WFSS_F360M_PS ,    5 ,    5 , 2044 , 2044 ,   68 , 2589 , 2589 ,   68 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,   956.5 , -1564.5 , -1564.5 ,   956.5
 NRCA5_GRISMC_WFSS_F410M_PS ,    5 ,    5 , 2044 , 2044 , -194 , 2166 , 2166 , -194 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 , -1218.5 ,  1141.5 ,  1141.5 , -1218.5
 NRCB5_GRISMC_WFSS_F410M_PS ,    5 ,    5 , 2044 , 2044 , -198 , 2166 , 2166 , -198 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  1222.5 , -1141.5 , -1141.5 ,  1222.5
 NRCA5_GRISMC_WFSS_F430M_PS ,    5 ,    5 , 2044 , 2044 , -194 , 1837 , 1837 , -194 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 , -1218.5 ,   812.5 ,   812.5 , -1218.5
 NRCB5_GRISMC_WFSS_F430M_PS ,    5 ,    5 , 2044 , 2044 , -198 , 1837 , 1837 , -198 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  1222.5 ,  -812.5 ,  -812.5 ,  1222.5
 NRCA5_GRISMC_WFSS_F444W_PS ,    5 ,    5 , 2044 , 2044 , -194 , 2142 , 2142 , -194 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 , -1218.5 ,  1117.5 ,  1117.5 , -1218.5
 NRCB5_GRISMC_WFSS_F444W_PS ,    5 ,    5 , 2044 , 2044 , -198 , 2142 , 2142 , -198 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  1222.5 , -1117.5 , -1117.5 ,  1222.5
 NRCA5_GRISMC_WFSS_F460M_PS ,    5 ,    5 , 2044 , 2044 , -194 , 1493 , 1493 , -194 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 , -1218.5 ,   468.5 ,   468.5 , -1218.5
 NRCB5_GRISMC_WFSS_F460M_PS ,    5 ,    5 , 2044 , 2044 , -198 , 1493 , 1493 , -198 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  1222.5 ,  -468.5 ,  -468.5 ,  1222.5
 NRCA5_GRISMC_WFSS_F480M_PS ,    5 ,    5 , 2044 , 2044 , -194 , 1366 , 1366 , -194 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 , -1218.5 ,   341.5 ,   341.5 , -1218.5
 NRCB5_GRISMC_WFSS_F480M_PS ,    5 ,    5 , 2044 , 2044 , -198 , 1366 , 1366 , -198 , -1019.5 , -1019.5 ,  1019.5 ,  1019.5 ,  1222.5 ,  -341.5 ,  -341.5 ,  1222.5
